                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1227,                0.69259,                 1.1148,                0.83831,                0.87097,                0.86102,                 0.5589,                 1.5213,                0.77355,                 1.2557,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1283,                 0.6829,                 1.1079,                0.90086,                0.87953,                0.94304,                0.56557,                 1.5223,                0.84971,                 1.2486,               0.000614,               0.000614,               0.000614
                     37,                 1.1396,                 0.6976,                 1.1091,                0.93377,                0.90979,                0.95214,                 0.5651,                 1.5212,                0.80899,                 1.2738,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1212,                0.67561,                 1.1077,                      1,                0.79861,                0.97109,                 0.5847,                 1.4749,                0.79312,                 1.2286,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.1121,                0.66916,                 1.0964,                0.97926,                0.83871,                0.95451,                0.56482,                 1.4117,                0.78756,                 1.2046,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1115,                0.67027,                 1.0974,                0.94718,                0.90323,                0.95486,                 0.5819,                 1.4688,                0.82722,                  1.229,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0287,                0.85565,                 1.1331,                0.92072,                0.90323,                0.91139,                0.56005,                 1.4865,                0.94909,                 1.2249,               0.000416,               0.000416,               0.000416
                     42,                0.94939,                0.68698,                 1.1119,                0.92595,                0.90323,                0.94918,                0.58484,                 1.4151,                0.86031,                 1.2282,              0.0003764,              0.0003764,              0.0003764
                     43,                0.96914,                0.63309,                  1.089,                 0.9294,                0.96774,                0.96475,                0.57563,                 1.4413,                0.85868,                 1.2599,              0.0003368,              0.0003368,              0.0003368
                     44,                0.96684,                0.62659,                 1.0975,                0.93115,                0.87097,                0.96082,                0.54994,                   1.45,                0.89288,                 1.2326,              0.0002972,              0.0002972,              0.0002972
                     45,                0.96375,                0.59703,                 1.0943,                0.97083,                0.90323,                0.95582,                  0.607,                 1.3968,                0.82558,                 1.1949,              0.0002576,              0.0002576,              0.0002576
                     46,                0.95258,                0.58987,                 1.1179,                0.98882,                0.90323,                0.98871,                0.62197,                 1.3499,                0.79131,                 1.1767,               0.000218,               0.000218,               0.000218
                     47,                0.85945,                0.55616,                 1.0663,                0.97014,                0.96774,                0.99406,                0.60158,                 1.3963,                0.80085,                   1.24,              0.0001784,              0.0001784,              0.0001784
                     48,                0.88071,                0.54459,                 1.0739,                0.94246,                0.96774,                0.96237,                0.61001,                 1.3768,                0.79107,                 1.2025,              0.0001388,              0.0001388,              0.0001388
                     49,                0.90592,                0.54451,                 1.0605,                0.95699,                      1,                0.99312,                0.59202,                 1.4366,                0.81262,                 1.2401,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.88232,                0.54193,                  1.077,                0.91112,                      1,                0.99125,                0.60074,                 1.4304,                0.78888,                 1.2285,               5.96e-05,               5.96e-05,               5.96e-05
